employee_id,employee_first_name,employee_last_name,clocked_in,customer_first_name,customer_last_name,customer_id,ticket_createdAt,ticket_id,workorder_createdAt
E569321738-8,Emelita,Cuthbertson,10/22/2020 0:00,Ashlie,Dimitrijevic,C553291060-X,10/21/2020 0:01,T443674411-6,02/10/2023 22:49:42
E002730958-4,Anette,Nare,10/22/2020 0:37,Gustave,Casel,C934352888-4,10/21/2020 0:01,T562763203-8,02/10/2023 22:49:42
E173766832-7,Galvan,Barke,10/22/2020 0:43,Ivy,Beaumont,C344905789-8,10/21/2020 0:01,T512703853-6,02/10/2023 22:49:42
E767582271-4,Horatius,Scobie,10/22/2020 0:44,Greg,Dawid,C445348328-7,10/21/2020 0:02,T738683279-6,02/10/2023 22:49:42
E994400969-5,Lucky,Slessar,10/22/2020 0:46,Janessa,Sandhill,C233368661-8,10/21/2020 0:02,T923116346-9,02/10/2023 22:49:42
E238784262-6,Geoffry,Mattusov,10/22/2020 0:48,Alexandro,Godspeede,C401806868-9,10/21/2020 0:05,T945319142-6,02/10/2023 22:49:42
E549193235-3,Rab,Dedham,10/22/2020 0:49,Margalit,Giannotti,C055326103-7,10/21/2020 0:06,T911934058-3,02/10/2023 22:49:42
E932383184-0,Magdalen,Habble,10/22/2020 1:14,Bailie,Stentiford,C208773732-0,10/21/2020 0:07,T771727344-6,02/10/2023 22:49:42
E098634491-5,Andie,Rankine,10/22/2020 1:28,Mandi,Karoly,C135904400-0,10/21/2020 0:13,T015415142-4,02/10/2023 22:49:42
E035866010-6,Malissa,Mummery,10/22/2020 2:01,Zeb,Rangall,C184993758-3,10/21/2020 0:13,T009346314-6,02/10/2023 22:49:42
E628590413-8,Robby,Axworthy,10/22/2020 2:09,Dina,Coaten,C076586140-2,10/21/2020 0:14,T794921225-X,02/10/2023 22:49:42
E259950699-9,Lindy,Rops,10/22/2020 2:30,Nancie,Lemme,C124378303-6,10/21/2020 0:18,T755233053-8,02/10/2023 22:49:42
E268775104-9,Bealle,Jira,10/22/2020 2:41,Baudoin,Brasier,C016258152-1,10/21/2020 0:20,T340122518-9,02/10/2023 22:49:42
